run_date,fetched_at,category,sub_category,listing_id,title,address,price_text,price_yen,area_sqm,area_tsubo,unit_price_per_sqm,unit_price_per_tsubo,detail_text,detail_url
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100485591926,自由が丘カントリー倶楽部,東京都世田谷区奥沢5,13万,130000.0,,,,,2階 | 13万円 13万円 | 1K 26.45m 2,https://suumo.jp/chintai/jnc_000103727489/?bc=100485591926
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100482653023,パークハウス等々力 E棟,東京都世田谷区等々力6,55万,550000.0,,,,,2階 | 55万円 55万円 | 2LDK 104.69m 2,https://suumo.jp/chintai/jnc_000104044329/?bc=100482653023
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100472578212,ハイシティ田園調布第2,東京都世田谷区東玉川2,5万,50000.0,,,,,4階 | 5万円 - | ワンルーム 14.54m 2,https://suumo.jp/chintai/jnc_000102202659/?bc=100472578212
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100455012119,ハイシティ田園調布第2,東京都世田谷区東玉川2,5.1万,51000.0,,,,,2階 | 5.1万円 - | ワンルーム 14.54m 2,https://suumo.jp/chintai/jnc_000098970402/?bc=100455012119
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487123353,ハイシティ田園調布第2,東京都世田谷区東玉川2,5.1万,51000.0,,,,,3階 | - - | ワンルーム 14.54m 2,https://suumo.jp/chintai/jnc_000028333926/?bc=100487123353
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487552886,シャンブール自由ヶ丘,東京都目黒区緑が丘2,6.5万,65000.0,,,,,3階 | 6.5万円 - | ワンルーム 16m 2,https://suumo.jp/chintai/jnc_000053859657/?bc=100487552886
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100475105654,東急目黒線 奥沢駅 地上2階建 築37年,東京都世田谷区東玉川1,26.5万,265000.0,,,,,1-2階 | 26.5万円 26.5万円 | 3LDK 92.4m 2,https://suumo.jp/chintai/jnc_000102440317/?bc=100475105654
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100469793214,東急目黒線 奥沢駅 地上2階建 築37年,東京都世田谷区東玉川1,26.5万,265000.0,,,,,1-2階 | 26.5万円 26.5万円 | 3LDK 92.4m 2,https://suumo.jp/chintai/jnc_000102464130/?bc=100469793214
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100485134501,グリーンパス奥沢,東京都世田谷区奥沢4,13万,130000.0,,,,,1階 | 13万円 13万円 | 1DK 23.55m 2,https://suumo.jp/chintai/jnc_000103248818/?bc=100485134501
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100476804734,グリーンパス奥沢,東京都世田谷区奥沢4,13.3万,133000.0,,,,,2階 | 13.3万円 13.3万円 | 1DK 23.55m 2,https://suumo.jp/chintai/jnc_000103248822/?bc=100476804734
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100476737912,グリーンパス奥沢,東京都世田谷区奥沢4,13.3万,133000.0,,,,,2階 | 13.3万円 13.3万円 | 1DK 23.55m 2,https://suumo.jp/chintai/jnc_000103248821/?bc=100476737912
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100485134497,グリーンパス奥沢,東京都世田谷区奥沢4,13.3万,133000.0,,,,,2階 | 13.3万円 13.3万円 | 1DK 23.55m 2,https://suumo.jp/chintai/jnc_000103248823/?bc=100485134497
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100476810205,グリーンパス奥沢,東京都世田谷区奥沢4,18.2万,182000.0,,,,,1階 | 18.2万円 18.2万円 | 1LDK 40.3m 2,https://suumo.jp/chintai/jnc_000103239227/?bc=100476810205
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487481970,レオパレスコングラツィア石川台,東京都大田区石川町2,10.1万,101000.0,,,,,2階 | - 10.1万円 | 1K 23.18m 2,https://suumo.jp/chintai/jnc_000102532477/?bc=100487481970
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487796537,レオパレスコングラツィア石川台,東京都大田区石川町2,10.6万,106000.0,,,,,2階 | - 10.6万円 | 1K 23.18m 2,https://suumo.jp/chintai/jnc_000104608594/?bc=100487796537
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100482163361,Branche JIYUGAOKA,東京都世田谷区奥沢4,15.5万,155000.0,,,,,3階 | - 15.5万円 | 1LDK 41.6m 2,https://suumo.jp/chintai/jnc_000103977089/?bc=100482163361
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100486402317,アドラー奥沢,東京都世田谷区奥沢4,18.7万,187000.0,,,,,2階 | 18.7万円 18.7万円 | 1LDK 44.56m 2,https://suumo.jp/chintai/jnc_000104417069/?bc=100486402317
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100484914953,東玉川一丁目邸,東京都世田谷区東玉川1,38万,380000.0,,,,,- | 38万円 38万円 | 5LDK 156.1m 2,https://suumo.jp/chintai/jnc_000104317105/?bc=100484914953
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100484110148,Fullea奥沢,東京都世田谷区奥沢3,20.5万,205000.0,,,,,3階 | 20.5万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000099934175/?bc=100484110148
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100464869266,Fullea奥沢,東京都世田谷区奥沢3,20.7万,207000.0,,,,,4階 | 20.7万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000099940014/?bc=100464869266
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100447645704,Fullea奥沢,東京都世田谷区奥沢3,21万,210000.0,,,,,5階 | 21万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000099926159/?bc=100447645704
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100464868926,Fullea奥沢,東京都世田谷区奥沢3,22万,220000.0,,,,,2階 | 22万円 - | 1LDK 35.4m 2,https://suumo.jp/chintai/jnc_000099940013/?bc=100464868926
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100452534543,Fullea奥沢,東京都世田谷区奥沢3,23.8万,238000.0,,,,,1-2階 | 23.8万円 - | 1LDK 41.67m 2,https://suumo.jp/chintai/jnc_000099934174/?bc=100452534543
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100447492516,Fullea奥沢,東京都世田谷区奥沢3,23.8万,238000.0,,,,,3-4階 | 23.8万円 - | 1DK 38.16m 2,https://suumo.jp/chintai/jnc_000099934176/?bc=100447492516
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100469584781,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,20.5万,205000.0,,,,,3階 | 20.5万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000099926163/?bc=100469584781
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100464973292,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,20.7万,207000.0,,,,,4階 | 20.7万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000099926165/?bc=100464973292
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487357003,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,20.7万,207000.0,,,,,4階 | 20.7万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000104608673/?bc=100487357003
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100452536701,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,21万,210000.0,,,,,5階 | 21万円 - | 1LDK 31.6m 2,https://suumo.jp/chintai/jnc_000099926166/?bc=100452536701
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100464974836,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,22万,220000.0,,,,,2階 | 22万円 - | 1LDK 35.4m 2,https://suumo.jp/chintai/jnc_000099926162/?bc=100464974836
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100452510226,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,23.8万,238000.0,,,,,1-2階 | 23.8万円 - | 1LDK 41.67m 2,https://suumo.jp/chintai/jnc_000099926161/?bc=100452510226
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100464973582,東急目黒線 奥沢駅 5階建 新築,東京都世田谷区奥沢3,23.8万,238000.0,,,,,3階 | 23.8万円 - | 1DK 38.16m 2,https://suumo.jp/chintai/jnc_000099926164/?bc=100464973582
2026-02-07,2026-02-07T09:21:29,rent,賃貸,100487286555,東急目黒線 奥沢駅 4階建 築4年,東京都世田谷区奥沢2,14.9万,149000.0,,,,,1階 | 14.9万円 14.9万円 | 1LDK 31.7m 2,https://suumo.jp/chintai/jnc_000104655591/?bc=100487286555
